Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22,LogLik,Converged,AIC,BIC,T_obs,Market,Has_Exo,Pivot,Persist_S1,Persist_S2
NMC-USD,plugin,-0.3969116973692457,0.7938398202982684,0.0,0.0,0.4040575442411021,0.2430298306153507,0.7559718529528151,0.4813872962255515,0.2947512634188733,0.634187629361491,0.7759890420314796,0.8951158380958092,-9326.535489007329,False,18673.070978014657,18732.480375637933,2810,Crypto,False,,0.9990016835681658,0.9289388927803643
NMC-USD,quadrature,0.3394094763344754,0.3397449189443839,0.0,0.0,0.4164604503675981,0.1106853121264688,0.887916431663585,0.2289065824810491,0.1275663966563049,0.7921294389041122,0.9659121208001602,0.7444232323153741,-9121.905567014212,False,18263.811134028427,18323.220531651703,2810,Crypto,False,,0.9986017437900538,0.9196958355604171
NMC-USD,particle,-3.1791982764009008e-06,3.17837243346737e-06,0.0,0.0,0.2999998085510351,0.0500005400178589,0.8499994588193225,0.0999999358691128,0.0800005207774093,0.7799995030877654,0.9499994017943344,0.8000001210290744,-10525.649943734792,True,21071.299887469584,21130.70928509286,2810,Crypto,False,,0.8999999988371814,0.8600000238651747
BTC-USD,gray,0.3249959022972464,-0.1325557499138671,0.0,0.0,0.8259095903755096,0.0300145907228349,0.9,0.3511226189972361,0.3121025205649423,0.6870909044899584,0.8264687585272519,0.7182890442574804,-7297.707972486205,True,14615.41594497241,14674.825342595688,2810,Crypto,False,,0.9300145907228349,0.9991934250549006
BTC-USD,plugin,0.2966994582583558,0.2182796994311594,0.0,0.0,0.405998906316009,0.1118906225053524,0.8873738140828388,0.0914912787343272,0.1184134226275519,0.7786131942969667,0.9415079756982724,0.7554624476024353,-7232.321824576071,False,14484.643649152142,14544.05304677542,2810,Crypto,False,,0.9992644365881912,0.8970266169245187
BTC-USD,quadrature,0.3017965282278484,0.0776999083906838,0.0,0.0,0.8127847213937378,0.0262399534445406,0.9,0.3007252945048881,0.3464647400168055,0.6484634051079415,0.8634572884629884,0.7211191395059653,-7297.608079359206,False,14615.216158718413,14674.62555634169,2810,Crypto,False,,0.9262399534445406,0.994928145124747
BTC-USD,particle,9.053700754013852e-06,9.053700754013852e-06,0.0,0.0,0.2999994569590287,0.0500015391291281,0.8499984610519458,0.1000034404062865,0.0799998553218619,0.7799985878037564,0.9499982979042582,0.7999985695152809,-7853.800294428275,True,15727.60058885655,15787.009986479829,2810,Crypto,False,,0.9000000001810738,0.8599984431256184
ETH-USD,gray,0.41672678669479,-0.5452773424457562,-0.0868663635374066,0.5501589769239555,0.4877496707656933,0.0667989026927666,0.8935849012197241,0.3126568190291571,0.1735882620202998,0.825484911807077,0.9791424609928456,0.7073375116060684,-8072.600548614084,True,16169.201097228168,16240.4923743761,2810,Crypto,True,BTC-USD,0.9603838039124907,0.9990731738273768
ETH-USD,plugin,0.5904552212396961,0.5929711772883565,-0.6630231272662561,0.7642976496830544,0.6761565450800957,0.2424304232516528,0.6657346077395387,0.5989138105488456,0.3195523853126131,0.6704346479203145,0.7854305671080981,0.8104710331396846,-8295.235339129635,False,16614.47067825927,16685.761955407204,2810,Crypto,True,BTC-USD,0.9081650309911915,0.9899870332329276
ETH-USD,quadrature,0.2852431484980579,-0.372076009946804,-0.0623522067730397,0.427817258918208,0.456461079132965,0.0608441573678747,0.9,0.2451884880802418,0.1417453535667098,0.8569385815519133,0.9652583485618,0.7369782443647837,-8072.246272516449,True,16168.492545032896,16239.78382218083,2810,Crypto,True,BTC-USD,0.9608441573678748,0.9986839351186231
ETH-USD,particle,5.693856300617955e-07,5.706353848104451e-07,0.0500005685290529,0.0500005619125061,0.3000001930672113,0.0500000961647772,0.8500000028403453,0.1000002198050062,0.0800000905164875,0.7800000202252549,0.9500000006155608,0.8000000276258112,-9071.615650404849,True,18167.231300809693,18238.52257795763,2810,Crypto,True,BTC-USD,0.9000000990051225,0.8600001107417424
LTC-USD,gray,0.2038908985362642,-0.175663468831219,-0.1140588833172351,0.2751485418829284,0.4091745829210613,0.0845013472677038,0.9,0.1868590784864403,0.1355194905248786,0.8606381417646193,0.9883844647722838,0.7560646000866124,-8292.094802369376,True,16608.189604738753,16679.480881886688,2810,Crypto,True,BTC-USD,0.9845013472677038,0.9961576322894978
LTC-USD,plugin,-0.6147659056091477,0.6157211782934054,-0.5238643763229696,0.6990357809265567,0.3360386685396343,0.2033122744652679,0.7488343855004413,0.4238098383530531,0.3038968917924727,0.6945671744800741,0.8039514711593585,0.8735686643058479,-8471.667011816968,False,16967.334023633935,17038.62530078187,2810,Crypto,True,BTC-USD,0.9521466599657092,0.9984640662725468
LTC-USD,quadrature,0.192276885336914,-0.1625225648599287,-0.1149241438046774,0.2712690138165902,0.4130086901470036,0.0864751056596186,0.9,0.1897497896708837,0.1409215252731078,0.8584536161952683,0.9806680292985174,0.7488255462210553,-8291.687142139066,True,16607.374284278132,16678.665561426067,2810,Crypto,True,BTC-USD,0.9864751056596186,0.999375141468376
LTC-USD,particle,0.0,0.0,0.05,0.05,0.3,0.05,0.85,0.1,0.08,0.78,0.95,0.8,-9342.779211366602,False,18709.558422733204,18780.84969988114,2810,Crypto,True,BTC-USD,0.9,0.86
XRP-USD,gray,0.4513172730860477,-0.4647982381425576,-0.3028332441542601,0.4798571591755347,0.5407944116415043,0.0350252293796676,0.9,0.2813760009229172,0.1949960628474973,0.8011525988898237,0.948871404792076,0.7323791292259609,-8520.389591593323,False,17064.779183186645,17136.07046033458,2810,Crypto,True,BTC-USD,0.9350252293796676,0.996148661737321
XRP-USD,plugin,0.4094273350967515,-0.4083757187042325,-0.3650661627475327,-0.361426776024082,0.4398854883077046,0.1168394112826995,0.8829300384448615,0.2544991473826024,0.1348144148935616,0.7828689176138867,0.9479079422893416,0.7367373255402376,-8686.176692400546,False,17396.353384801092,17467.644661949027,2810,Crypto,True,BTC-USD,0.999769449727561,0.9176833325074483
XRP-USD,quadrature,0.5023783987220266,-0.5475411953469439,-0.2189921984327899,0.3981712690046471,0.5734754362495882,0.0455450976145475,0.9,0.313113172783763,0.21303002571998,0.7868686201747099,0.9437516203835664,0.7205198390060703,-8507.943008998427,True,17039.886017996854,17111.17729514479,2810,Crypto,True,BTC-USD,0.9455450976145475,0.9998986458946899
